name;suspiciousness_value
mypackage$App#App():3;0.9128709291752769
mypackage$App#mid(int,int,int):5;0.9128709291752769
mypackage$App#mid(int,int,int):17;0.9128709291752769
mypackage$App#mid(int,int,int):7;0.7745966692414834
mypackage$App#mid(int,int,int):9;0.6324555320336759
mypackage$App#mid(int,int,int):13;0.6324555320336759
mypackage$App#mid(int,int,int):12;0.5163977794943222
mypackage$App#mid(int,int,int):8;0.4472135954999579
mypackage$App#mid(int,int,int):10;0.0
mypackage$App#mid(int,int,int):14;0.0
mypackage$App#mid(int,int,int):15;0.0
