name;suspiciousness_value
mypackage$App#mid(int,int,int):5->9;0.6324555320336759
mypackage$App#mid(int,int,int):9->17;0.6324555320336759
mypackage$App#mid(int,int,int):12->17;0.6324555320336759
mypackage$App#mid(int,int,int):5->12;0.5163977794943222
mypackage$App#mid(int,int,int):5->17;0.4472135954999579
mypackage$App#mid(int,int,int):15->17;0.0
mypackage$App#mid(int,int,int):12->14;0.0
mypackage$App#mid(int,int,int):9->10;0.0
mypackage$App#mid(int,int,int):10->17;0.0
mypackage$App#mid(int,int,int):14->17;0.0
mypackage$App#mid(int,int,int):14->15;0.0
